Status,Fit Category,Fit Score,Opportunity Stage,Opportunity Title,Agency,Office,Notice Type,Notice ID,Solicitation Number,Due Date,Days Until Due,NAICS,PSC,Set-Aside,Place of Performance,Contract Value / Ceiling,Contract Value Source Text,Why It Fits Butler,Feasibility Concern,Recommended Next Step,SeaPort / Vehicle Required,Eligibility Status,Eligibility Requirement,Prime Feasibility,Subcontract / Teaming Path,Eligibility Notes,SAM.gov Link,Attachment Links,Contact Name,Contact Email,Search Source,Refresh Status,Data Confidence
Accepted,C,8,RFP / Solicitation,KC-135 Center Console Refresh (CCR) Revision 2,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE LIFE CYCLE MANAGEMENT CENTER.MOBILITY AIRCRAFT.FA8105  AFLCMC  WKK,,Solicitation,77b678dad53141a58176471ab73f65cb,FA8105_CCR_Rev2,2026-10-13,75,336413,1680,,"0, Oklahoma, UNITED STATES",Not stated,,"Relevant Butler intelligence or subcontract lead, but prime feasibility is limited. Matched: uav, air force, aflcmc. Attachment text was included in the screen. Scope reads as hardware supply/manufacturing with no clear design, redesign, or engineering work (matched: supply-class PSC 1680), so it is tracked as a subcontract/competitive-intelligence lead rather than a prime fit.",None identified,Possible subcontract lead,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/77b678dad53141a58176471ab73f65cb/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/040818b748734d5abcd23fb93e83fead/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0f84eb3edc9d424dbc1a84ff5fce67e7/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/203c3128f78a4eee865ed3f99fd54a40/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/38b1d5b829c842f28e2df78722cda27d/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/51f4f16b93804cd9aae0cb9f872bb4f9/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5c2b9c8ec05e495bb63b9bc685087a5b/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6be1683035d547e4bd3822bc266155ba/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/98e46dc51cb54c6c92ee1e726b3e24c2/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ad0632bce2bd44b58c0bba027c35ee72/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/adbc552664744f9aa58f078eba6fd029/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b03a9d6d088c40bcad69d8b85ad968f5/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/bd8bc5ac1eb341c0812c0e393187ee63/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/cb9a40c63a0344dc8f5c361b42ef27ad/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e01c84f058e84311aa2e327a37452571/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=77b678dad53141a58176471ab73f65cb&limit=1'}",Brandi Shelden,brandi.shelden@us.af.mil,Primary NAICS 336413,Partial Refresh — Capacity Reached,High — attachment text read
Accepted,C,8,RFP / Solicitation,"1560-016185240, PANEL,STRUCTURAL,AIRCRAFT/56F/ AIRCRAFT, B-1B",DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA AVIATION.DLA AV RICHMOND.DLA AVIATION,,Solicitation,c776e43948f54582abdad51812442c6f,SPE4A726R0721,2026-09-15,47,336413,1560,,"Richmond, Virginia, UNITED STATES",Not stated,,"Relevant Butler intelligence or subcontract lead, but prime feasibility is limited. Matched: aircraft, dla aviation. Scope reads as hardware supply/manufacturing with no clear design, redesign, or engineering work (matched: supply-class PSC 1560), so it is tracked as a subcontract/competitive-intelligence lead rather than a prime fit.",None identified,Possible subcontract lead,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/c776e43948f54582abdad51812442c6f/view,"{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=c776e43948f54582abdad51812442c6f&limit=1'}",XUAN T PHAN,Xuan.Phan@dla.mil,Primary NAICS 336413,Partial Refresh — Capacity Reached,High
Accepted,C,3,Sources Sought / RFI,KC-135 Center Console Refresh (CCR) Revision 2,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE LIFE CYCLE MANAGEMENT CENTER.MOBILITY AIRCRAFT.FA8105  AFLCMC  WKK,,Sources Sought,d7d0947a1aeb4d588887217ba6b4ce08,FA8105_CCR_Rev2,2026-09-15,47,336413,1680,,"0, Oklahoma, UNITED STATES",Not stated,,"Relevant Butler intelligence or subcontract lead, but prime feasibility is limited. Matched: air force, aflcmc. Attachment text was included in the screen. Scope reads as hardware supply/manufacturing with no clear design, redesign, or engineering work (matched: supply-class PSC 1680), so it is tracked as a subcontract/competitive-intelligence lead rather than a prime fit.",None identified,Possible subcontract lead,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/d7d0947a1aeb4d588887217ba6b4ce08/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0ac2958aadc9406298d570e1446c94c1/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0fbecd6e7db94163814fcf9f3e098df6/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/1723b47801f4444ba6b945dba4f40052/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/1cb8dfb9d29b4e08934279f15c2b4118/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2fbfed4e88dd498abb8e146efc889ac2/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3bfdca9617fd49468549fddf84e7545e/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/404a50df6fe44691a4c96f602a3ea41f/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/701ede11f8f94809bda95954affd8594/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/75f9596c9d274350baf6ed865e352ef0/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a453788858564babbbc93f7c2a4666cb/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ac556da9301a47f6800e7352c4834e06/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/be061dc2227e4e1f9f3a5062623eb0eb/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c50f23c76e644d73b8b31ebb86037fda/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d14ba04341fe46f2b2908fdf1b4da952/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d427a1b678384a4fa7cf0b3521df6282/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/dc28ab54be124b6cace057d9d0b694cf/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e6da139619f444aaadd456ec495bec40/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ea4fa88a5e474100a2db67f1eb4b8bb4/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=d7d0947a1aeb4d588887217ba6b4ce08&limit=1'}",Brandi Shelden,brandi.shelden@us.af.mil,Primary NAICS 336413,Partial Refresh — Capacity Reached,High — attachment text read
Accepted,C,3,RFP / Solicitation,"NSN 2840016873807PR, F110 CASE AND VANE ASSEM (AMC: 3R)","DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA AVIATION.DLA AVIATION OKLAHOMA CITY.DLA AVIATION AT OKLAHOMA CITY, OK",,Solicitation,59d0f072a1614bfaa06768e1691d4596,SPRTA1-26-R-0366,2026-09-14,46,336412,2840,No Set aside used,,Not stated,,"Relevant Butler intelligence or subcontract lead, but prime feasibility is limited. Matched: dla aviation. Scope reads as hardware supply/manufacturing with no clear design, redesign, or engineering work (matched: nsn, supply-class PSC 2840), so it is tracked as a subcontract/competitive-intelligence lead rather than a prime fit.",None identified,Possible subcontract lead,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/59d0f072a1614bfaa06768e1691d4596/view,"{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=59d0f072a1614bfaa06768e1691d4596&limit=1'}",Breann Irving,breann.irving@us.af.mil,Primary NAICS 336412,Partial Refresh — Capacity Reached,High
Accepted,C,3,RFP / Solicitation,"F110 ROTOR,COMPRESSOR,AI, NSN: 2840-01-527-6505 PR (AMC 3V)","DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA AVIATION.DLA AVIATION OKLAHOMA CITY.DLA AVIATION AT OKLAHOMA CITY, OK",,Solicitation,59574922f709470eb302b43bdc79cee8,SPRTA1-26-R-0385,2026-09-14,46,336412,2840,No Set aside used,,Not stated,,"Relevant Butler intelligence or subcontract lead, but prime feasibility is limited. Matched: dla aviation. Scope reads as hardware supply/manufacturing with no clear design, redesign, or engineering work (matched: nsn, supply-class PSC 2840), so it is tracked as a subcontract/competitive-intelligence lead rather than a prime fit.",None identified,Possible subcontract lead,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/59574922f709470eb302b43bdc79cee8/view,"{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=59574922f709470eb302b43bdc79cee8&limit=1'}",Breann Irving,breann.irving@us.af.mil,Primary NAICS 336412,Partial Refresh — Capacity Reached,High
Accepted,C,3,RFP / Solicitation,"1650 - 003023093, PARTS KIT,CONSTANT",DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA AVIATION.DLA AV RICHMOND.DLA AVIATION,,Solicitation,d88cbb752d09431b874f4252e39f7f72,SPE4A726R0717,2026-09-11,43,336413,1650,,"Richmond, Virginia, UNITED STATES",Not stated,,"Relevant Butler intelligence or subcontract lead, but prime feasibility is limited. Matched: dla aviation. Scope reads as hardware supply/manufacturing with no clear design, redesign, or engineering work (matched: supply-class PSC 1650), so it is tracked as a subcontract/competitive-intelligence lead rather than a prime fit.",None identified,Possible subcontract lead,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/d88cbb752d09431b874f4252e39f7f72/view,"{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=d88cbb752d09431b874f4252e39f7f72&limit=1'}",XUAN T PHAN,Xuan.Phan@dla.mil,Primary NAICS 336413,Partial Refresh — Capacity Reached,High
Accepted,B,8,RFP / Solicitation,C-5 Nose Landing Gear Door Actuator Assemblies,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE SUSTAINMENT CENTER.FA8538  AFSC PZAAB,,Solicitation,a6fba30a374244d48f4ca8c7a7dbc950,FA853826R0012,2026-09-08,40,336413,J016,No Set aside used,"Warner Robins, Georgia, UNITED STATES",Not stated,,"Possible Butler fit through broader defense engineering, logistics, testing, or program support. Matched: uas, air force. Attachment text was included in the screen.",None identified,Add to tracker,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/a6fba30a374244d48f4ca8c7a7dbc950/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/03d348df4dcb4e90a8bc681ba84b370d/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/13e058bdca344b2b99560549a0acf55b/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3066260cc57a4337a583a8afeca4d76b/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3853cefda56141ae85ab0e67c5a00421/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6204560c6d5a48888e4813c347043ee1/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/71e3288a49b54535b42deeaebd7c3e45/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7227bf620dbe42e3abc4677867a98aea/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/846e23ff7da84896a7fb1137a600cba4/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/9a180d51e6d44e83b4059c06ddb81a6d/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/9e90672a9c7f4bf5a595ccf208dfb43b/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a9631d097666469ea83d8f05130a4710/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b3789836fe3c425d93294d9f17db7682/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b816837b07a54123bc450bdeaaa384a9/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/dc4f2df4a3974819a1d8a33015a3f670/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e205793f3a3a4adbb0180fb00d56993d/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f6c765f34a584a5196dd379b058d5cb5/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/faf4540717fd40f8a2d4f8b0d5b5f306/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=a6fba30a374244d48f4ca8c7a7dbc950&limit=1'}",Alyssa Tanner,alyssa.tanner.1@us.af.mil,Primary NAICS 336413,Partial Refresh — Capacity Reached,High — attachment text read
Accepted,C,0,RFP / Solicitation,"Minuteman III ICBM, Clutch Assembly, FRI",DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE SUSTAINMENT CENTER.FA8206  AFSC PZACA (ICBM),,Solicitation,41052a0830b345f881affdd9db0fb64c,FA8206-26-Q-0005,2026-09-04,36,336415,3010,Small Business Set Aside - Total,,Not stated,,"Relevant Butler intelligence or subcontract lead, but prime feasibility is limited. Matched: air force. Attachment text was included in the screen. Scope reads as hardware supply/manufacturing with no clear design, redesign, or engineering work (matched: supply-class PSC 3010), so it is tracked as a subcontract/competitive-intelligence lead rather than a prime fit.",Set-aside eligibility may limit prime feasibility,Check set-aside,No obvious vehicle restriction,Unknown — check Butler contract vehicles,Requires small-business set-aside eligibility.,Prime uncertain,Check whether Butler can qualify directly or should team with an eligible prime.,small business set aside,https://sam.gov/workspace/contract/opp/41052a0830b345f881affdd9db0fb64c/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f5fd8246b98646629af369f22060bf80/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=41052a0830b345f881affdd9db0fb64c&limit=1'}",Camie Connelly,camie.connelly@us.af.mil,Primary NAICS 336415,Partial Refresh — Capacity Reached,High — attachment text read
Accepted,B,7,RFP / Solicitation,"Indefinite Delivery/Indefinite Quantity Contract for Architect-Engineer Services for Utility Projects at Various Locations under the Cognizance of Naval Facilities Engineering Systems Command, Hawaii",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVFAC.NAVFAC PACIFIC CMD.NAVFAC HAWAII.NAVFACSYSCOM HAWAII,,Solicitation,2639106653fe4eff9e81f960a548cf92,N6247826R5058,2026-09-02,34,541330,C219,No Set aside used,"JBPHH, Hawaii, UNITED STATES",Not stated,,"Possible Butler fit through broader defense engineering, logistics, testing, or program support. Matched: bom, navy. Attachment text was included in the screen.",None identified,Add to tracker,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/2639106653fe4eff9e81f960a548cf92/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2e6be5ac28a543f1846588bc3b1dd8e1/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/359bcc12a3be4fa09aa0915862b85fbe/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4e4db44b04c544d085561ad3920c8f3b/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6a20389be5604b3788a566f6db17a336/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/91177457b95847a6b4e1c2407b73a715/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a060d79b2cc14108b0e17733295a9723/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a206a298317e4dad9be989e577dabf5d/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b559b18eb249429288daf7d23634f967/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/cf6fe4e7f3d0416dabe58af175193460/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d64a600913b44b068600d8f2d340eb21/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f681a89645a343e197d49bba8dc091cc/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ff76125d707a4bd384ff4997ccc0a286/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=2639106653fe4eff9e81f960a548cf92&limit=1'}",Brittney Lazo,brittney.a.lazo.civ@us.navy.mil,Primary NAICS 541330,Partial Refresh — Capacity Reached,High — attachment text read
Accepted,C,-2,Special Notice,Available for Licensing: Composite Vessel-Shield Technology for Transportable Microreactor Systems,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.BATTELLE ENERGY ALLIANCE–DOE CNTR",,Special Notice,c1b098742b2c4dc4a563a92345af9e4f,BA-1453-2,2026-09-01,33,541715,4470,,"Idaho Falls, Idaho, UNITED STATES",Not stated,,"Relevant Butler intelligence or subcontract lead, but prime feasibility is limited. Scope reads as hardware supply/manufacturing with no clear design, redesign, or engineering work (matched: supply-class PSC 4470), so it is tracked as a subcontract/competitive-intelligence lead rather than a prime fit.",None identified,Possible subcontract lead,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/c1b098742b2c4dc4a563a92345af9e4f/view,"{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=c1b098742b2c4dc4a563a92345af9e4f&limit=1'}",Javier Martinez,javier.martinez@inl.gov,Primary NAICS 541715,Partial Refresh — Capacity Reached,High
